ID,x,y,cluster
0,24.412,32.932,2
1,35.19,12.189,1
2,26.288,41.718,2
3,0.376,15.506,0
4,26.116,3.963,1
5,25.893,31.515,2
6,23.606,15.402,1
7,28.026,15.47,1
8,26.36,34.488,2
9,23.013,36.213,2
10,27.819,41.867,2
11,39.634,42.23,2
12,35.477,35.104,2
13,25.768,5.967,1
14,-0.684,21.105,0
15,3.387,17.81,0
16,32.986,3.412,1
17,34.258,9.931,1
18,6.313,29.426,0
19,33.899,37.535,2
20,4.718,12.125,0
21,21.054,5.067,1
22,3.267,21.911,0
23,24.537,38.822,2
24,4.55,16.179,0
25,25.712,7.409,1
26,3.884,28.616,0
27,29.081,34.539,2
28,14.943,23.263,0
29,32.169,45.421,2
30,32.572,16.944,1
31,33.673,13.163,1
32,29.189,13.226,1
33,25.994,34.444,2
34,16.513,23.396,0
35,23.492,11.142,1
36,26.878,36.609,2
37,31.604,36.911,2
38,34.078,33.827,2
39,11.286,16.082,0
40,30.15,9.642,1
41,36.569,45.827,2
42,3.983,11.839,0
43,12.891,23.832,0
44,21.314,13.264,1
45,29.101,44.781,2
46,30.671,9.294,1
47,35.139,9.803,1
48,35.563,42.759,2
49,35.028,15.779,1
50,9.776,16.988,0
51,24.268,5.693,1
52,-0.36,15.319,0
53,33.062,47.693,2
54,21.034,37.463,2
55,31.806,4.484,1
56,22.493,39.466,2
57,29.056,46.004,2
58,29.822,13.83,1
59,35.439,14.439,1